"","Timestamp","nascimento","genero","escolaridade","altura","peso","horas_sono","exercicios_fisicos","acucar","origem_animal","estudante","turno","horas_estudo","desempenho_estudo","empregado","tipo_trabalhador","desempenho_trabalho","cansado","vezes_doente","foi_medico","medicacao","doador","doador_sentiu_mal","doador_familia"
"58","2019/04/07 4:08:13 AM GMT-3","1989-09-16","Masculino","Ensino Médio completo",1.79,89,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Profissional liberal","Bom","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Sim","Não",""
"59","2019/04/07 4:15:38 AM GMT-3","1982-07-10","Masculino","Ensino Médio completo",1.85,118,"6 a 8 horas","3","Todos os dias, em 1 ou 2 refeições","Todos os dias, em 1 ou 2 refeições","Sim","Manhã",2,"Notas variam entre A e B (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9)","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Não, em nenhuma","","Sim","Não",""
"60","2019/04/07 7:17:40 AM GMT-3","2019-04-05","Feminino","Ensino Médio completo",1.6,65,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Profissional liberal","Bom","Apenas quando durmo pouco","Nenhuma","","","Não","",""
"61","2019/04/07 8:26:53 AM GMT-3","1995-12-08","Masculino","Ensino Médio completo",1.86,86,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Sempre, independente do quanto eu durmo","3 ou mais","Sim, em algumas","Sim","Sim","Não",""
"62","2019/04/07 11:13:30 AM GMT-3","1991-02-15","Masculino","Ensino Superior completo",1.76,75,"6 a 8 horas","5","Alguns dias na semana","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"63","2019/04/07 1:03:15 PM GMT-3","1990-08-03","Masculino","Ensino Superior completo",1.77,88,"6 a 8 horas","3","Todos os dias, em todas as refeições","Alguns dias na semana","Sim","Mais de um turno",20,"Quase sempre nota A (A é equivalente ao intervalo de 9 a 10)","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"64","2019/04/07 2:09:05 PM GMT-3","1991-05-03","Masculino","Ensino Superior completo",1.83,78,"6 a 8 horas","2","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"65","2019/04/07 3:09:59 PM GMT-3","1992-07-05","Feminino","Ensino Superior completo",1.6,58,"Menos de 6 horas","3","Alguns dias na semana","Todos os dias, em todas as refeições","Não","",NA,"","Sim","Assalariado(a)","Bom","Apenas quando durmo pouco","1 a 2","Sim, em algumas","Sim","Não","",""
"66","2019/04/07 3:41:39 PM GMT-3","1952-02-17","Feminino","Ensino Médio completo",1.62,67,"6 a 8 horas","Nenhuma","Raramente","Todos os dias, em 1 ou 2 refeições","Não","",NA,"","Não","","","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
"67","2019/04/07 3:47:02 PM GMT-3","2019-04-07","Feminino","Ensino Superior incompleto",1.59,76,"6 a 8 horas","Nenhuma","Alguns dias na semana","Todos os dias, em todas as refeições","Sim","Mais de um turno",4,"Notas variam entre A, B e C (A é equivalente ao intervalo 9 a 10; B é equivalente ao intervalo 7,5 a 9; C é equivalente ao intervalo 6 a 7,5)","Sim","Assalariado(a)","Excelente, dou o máximo de mim","Apenas quando durmo pouco","Nenhuma","","","Sim","Não",""
